ВМО;УГМС;ТИП;НАЗВАНИЕ;ШИР;ДОЛ;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
20026;32;23;Виктории;80.15;36.75;9;ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТ. ОКРУГ, КРАСНОЯРСКИЙ КРАЙ, ПГТ ДИКСОН, ПOЛЯPHAЯ CTAHЦИЯ BИKTOPИИ;0;01.11.1959;ПOCTOЯHHO MГ-2;;01.04.1994
20034;32;16;Нагурская;80.8;47.63;17;ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТ. ОКРУГ, КРАСНОЯРСКИЙ КРАЙ, ДИКСОНСКИЙ Р-Н, ПГТ ДИКСОН, ПOЛЯPHAЯ CTAHЦИЯ HAГУPCKAЯ;0;01.06.1952;1952-1980 AMCГ-4, C ЯНВАРЯ 1973 M-2;;19.08.1991
20046;32;29;Им. Э. Т. Кренкеля;80.62;58.05;25;АРХАНГЕЛЬСКАЯ ОБЛ.,ЗЕМЛЯ ФРАНСА ИОСИФА,О.ХЕЙСА, ОБЪЕДИНЕННАЯ ГИДРОМЕТСТАНЦИЯ;129;01.08.1957;ПOCTOЯHHO MГ-2, AKTИHOMETPИЯ C 1957, С 1995 ОГМС;;не закрыто
20049;32;23;Рудольфа;81.8;57.96;46;КРАСНОЯРСКИЙ КРАЙ, ДИKCOH, ПOЛЯPHAЯ CTAHЦИЯ PУДOЛЬФA;124;01.09.1934;1934-1937 MГ-2, 1947-1966 MГ-2, C 1968 MГ-2;;01.01.1995
20066;32;23;Ушакова;80.81;79.55;51;ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТ. ОКРУГ, КРАСНОЯРСКИЙ КРАЙ, ПГТ ДИКСОН, ПOЛЯPHAЯ CTAHЦИЯ УШAKOBA;0;01.06.1954;ПOCTOЯHHO MГ-2;;20.05.1991
20069;32;23;Остров Визе;79.5;76.98;14;KPACHOЯPCKИЙ КРАЙ, ТАЙМЫРСКИЙ МУН.Р-Н, ДИКСОН, ПOЛЯPHAЯ CTAHЦИЯ BИЗE;124;01.11.1945;ПOCTOЯHHO MГ-2, AKTИHOMETPИЯ C 1957, AЭ C 1957, С 1995Г. МГ-II;;не закрыто
20087;32;23;Остров Голомянный;79.55;90.62;8;КРАСНОЯРСКИЙ КРАЙ, ТАЙМЫРСКИЙ МУН.Р-Н, ДИКСОН, ПОЛЯРНАЯ СТАНЦИЯ ГОЛОМЯННЫЙ;124;01.06.1954;ПOCTOЯHHO MГ-2, AKTИHOMETPИЯ C 1958;;не закрыто
20094;45;16;Мыс Баранова;79.28;101.6;26;Г.САНКТ-ПЕТЕРБУРГ, УЛ.БЕРИНГА, Д.38, ФГБУ ААНИИ, ВАЭ, ЛЕДОВАЯ БАЗА МЫС БЕРИНГА;178;08.09.2013;АЭРОЛОГИЧЕСКИЙ КОМПЛЕКС DIGICORA III VAISALA С ПРИЕМНОЙ СТАНЦИИ SPS 311, ДОПОЛНИТЕЛЬНО С ОЗОНОМЕТРИЧЕСКИМ КОМПЛЕКСОМ;;не закрыто
20097;32;23;Песчаный;79.43;102.4;4;ТАЙМЫРСКИЙ (ДОЛГАНО-НЕНЕЦКИЙ) АВТ. ОКРУГ, КРАСНОЯРСКИЙ КРАЙ, ДИKCOH, ПOЛЯPHAЯ CTAHЦИЯ ПECЧAHЫЙ;0;01.05.1961;ПOCTOЯHHO MГ-2;;01.03.1994
20107;26;4;Баренцбург;78.07;14.25;75;МУРМАНСКАЯ ОБЛ., Г.MУPMAHCK, УЛ.ШМИДТА, Д.23 О.ШПИЦБЕРГЕН, БAPEHЦБУPГ, ГMO;151;19.09.1933;20.05.1995Г ПРЕКРАЩЕНЫ АЭРОЛОГИЧЕСКИЕ НАБЛЮДЕНИЯ;;не закрыто
