КОД;ТИП
2;Гидрометцентр
3;Гидрометобсерватория
4;Специальная гидрометобсерватория
5;Гидрометеобюро
10;Авиаметцентр
11;Центр по гидрометеорологии
14;Центр мониторинга окружающей среды
16;Метеорологическая станция
18;Автоматическая метеостанция
21;Аэрологическая станция
22;Гидрологическая станция
23;Морская гидрометстанция
29;ОГМС
30;АМСГ
31;Агрометеорологическая станция
32;Болотная станция
33;Воднобалансовая станция
38;Озерная станция
40;Селестоковая станция
41;Снеголавинная станция
43;Устьевая станция
49;Станция фонового мониторинга
52;Метеопост
54;Морской гидрометпост
